slug,title,regionCode,city,remote,venue,urlOriginal,urlRegister,skills,tags,description,startAt,endAt,language,priceFrom,priceTo,currency
js-meetup-kyiv,Kyiv JS Meetup,kyiv,Київ,false,UNIT.City,https://events.example/js-meetup-kyiv,https://register.example/js-meetup-kyiv,JavaScript|Frontend,meetup|offline,Вечірній мітдап для фронтенд інженерів,2024-08-10T16:00:00.000Z,2024-08-10T19:00:00.000Z,uk,0,0,UAH
qa-bootcamp-lviv,QA Bootcamp Intro,lviv,Львів,true,Online,https://events.example/qa-bootcamp-lviv,https://register.example/qa-bootcamp-lviv,QA|Testing,bootcamp|online,Вступна зустріч до курсу з QA,2024-08-12T17:00:00.000Z,2024-08-12T19:00:00.000Z,uk,0,0,UAH
python-workshop-dnipro,Python Data Workshop,dnipro,Дніпро,false,IT Dnipro Hub,https://events.example/python-workshop-dnipro,https://register.example/python-workshop-dnipro,Python|Data,workshop|offline,Практикум з аналізу даних,2024-08-14T09:00:00.000Z,2024-08-14T13:00:00.000Z,uk,400,600,UAH
ux-clinic-odesa,UX Clinic for Startups,odesa,Одеса,true,Online,https://events.example/ux-clinic-odesa,https://register.example/ux-clinic-odesa,UX|Design,clinic|online,Розбір інтерфейсів від менторів,2024-08-16T15:00:00.000Z,2024-08-16T17:00:00.000Z,uk,0,0,UAH
data-meetup-chernihiv,Data Meetup Chernihiv,chernihiv,Чернігів,false,CoWorking 24,https://events.example/data-meetup-chernihiv,https://register.example/data-meetup-chernihiv,Data|Analytics,meetup|offline,Кейси BI та аналітики з регіону,2024-08-18T17:00:00.000Z,2024-08-18T19:30:00.000Z,uk,200,300,UAH
robotics-hackathon-vinnytsia,Robotics Hackathon,vinnytsia,Вінниця,false,Smart Lab,https://events.example/robotics-hackathon-vinnytsia,https://register.example/robotics-hackathon-vinnytsia,Robotics|IoT,hackathon|offline,48 годин на створення автономного прототипу,2024-08-20T08:00:00.000Z,2024-08-22T18:00:00.000Z,en,600,900,UAH
cloud-day-zaporizhzhia,Cloud Day Zaporizhzhia,zaporizhzhia,Запоріжжя,true,Online,https://events.example/cloud-day-zaporizhzhia,https://register.example/cloud-day-zaporizhzhia,Cloud|DevOps,conference|online,День практичних лекцій про хмарні сервіси,2024-08-22T10:00:00.000Z,2024-08-22T15:00:00.000Z,en,0,0,UAH
startup-lab-poltava,Startup Lab Poltava,poltava,Полтава,false,City Lab,https://events.example/startup-lab-poltava,https://register.example/startup-lab-poltava,Product|Pitching,lab|offline,Інтенсив з перевірки ідей та презентацій,2024-08-24T09:00:00.000Z,2024-08-24T18:00:00.000Z,uk,300,450,UAH
security-forum-sumy,Security Forum Sumy,sumy,Суми,true,Online,https://events.example/security-forum-sumy,https://register.example/security-forum-sumy,Security|SOC,forum|online,Обговорення сучасних загроз і практик,2024-08-26T11:00:00.000Z,2024-08-26T15:00:00.000Z,uk,0,0,UAH
rivne-career-day,Rivne Career Day,rivne,Рівне,false,Tech Square,https://events.example/rivne-career-day,https://register.example/rivne-career-day,Career|HR,career|offline,Ярмарок вакансій для технічних спеціалістів,2024-08-28T09:00:00.000Z,2024-08-28T13:00:00.000Z,uk,0,0,UAH
ai-summit-kharkiv,AI Summit Kharkiv,kharkiv,Харків,false,Innovation Hall,https://events.example/ai-summit-kharkiv,https://register.example/ai-summit-kharkiv,AI|ML,conference|offline,Щорічна конференція з практиками штучного інтелекту,2024-08-30T08:30:00.000Z,2024-08-30T18:00:00.000Z,en,700,900,UAH
