slug,name,websiteUrl,email,location,description,logoUrl
kyiv-tech,Kyiv Tech,https://kyivtech.example,hello@kyivtech.example,Київ,Продуктова компанія що розвиває EdTech рішення,https://cdn.example.com/logos/kyiv-tech.svg
lviv-labs,Lviv Labs,https://lvivlabs.example,hi@lvivlabs.example,Львів,RnD студія з фокусом на AI,https://cdn.example.com/logos/lviv-labs.svg
dnipro-soft,Dnipro Soft,https://dniprosoft.example,team@dniprosoft.example,Дніпро,Аутсорсингова команда для fintech,https://cdn.example.com/logos/dnipro-soft.svg
odesa-digital,Odesa Digital,https://odesadigital.example,work@odesadigital.example,Одеса,Агенція з мобільної розробки,https://cdn.example.com/logos/odesa-digital.svg
kharkiv-innovators,Kharkiv Innovators,https://kharkivinnovators.example,contact@kharkivinnovators.example,Харків,Стартап інкубатор для hardware,https://cdn.example.com/logos/kharkiv-innovators.svg
chernihiv-data,Chernihiv Data,https://chernihivdata.example,info@chernihivdata.example,Чернігів,Команда аналітики та BI,https://cdn.example.com/logos/chernihiv-data.svg
vinnytsia-robotics,Vinnytsia Robotics,https://vinnytsiarobotics.example,hr@vinnytsiarobotics.example,Вінниця,Робототехніка для smart farming,https://cdn.example.com/logos/vinnytsia-robotics.svg
zaporizhzhia-cloud,Zaporizhzhia Cloud,https://zaporizhzhia-cloud.example,careers@zaporizhzhia-cloud.example,Запоріжжя,Провайдер хмарних сервісів,https://cdn.example.com/logos/zaporizhzhia-cloud.svg
poltava-studio,Poltava Studio,https://poltavastudio.example,hello@poltavastudio.example,Полтава,Креативна студія та геймдев,https://cdn.example.com/logos/poltava-studio.svg
sumy-security,Sumy Security,https://sumysecurity.example,team@sumysecurity.example,Суми,Розробка продуктів з кібербезпеки,https://cdn.example.com/logos/sumy-security.svg
rivne-systems,Rivne Systems,https://rivnesystems.example,jobs@rivnesystems.example,Рівне,Системна інтеграція для малого бізнесу,https://cdn.example.com/logos/rivne-systems.svg
zakarpattia-ventures,Zakarpattia Ventures,https://zakventures.example,career@zakventures.example,Ужгород,Інвестиційний хаб для стартапів,https://cdn.example.com/logos/zakarpattia-ventures.svg
