slug,title,companySlug,regionCode,city,remote,urlOriginal,urlApply,salaryMin,salaryMax,currency,experience,employmentType,skills,tags,description,publishedAt,validUntil
junior-frontend-kyiv,Junior Frontend Developer,kyiv-tech,kyiv,Київ,false,https://jobs.junior.ua/junior-frontend-kyiv,https://apply.junior.ua/junior-frontend-kyiv,28000,42000,UAH,junior,full_time,JavaScript|React|HTML,frontend|onsite,Підтримка інтерфейсів та розробка нових компонентів,2024-07-01T09:00:00.000Z,
qa-intern-lviv,QA Intern,lviv-labs,lviv,Львів,false,https://jobs.junior.ua/qa-intern-lviv,https://apply.junior.ua/qa-intern-lviv,0,12000,UAH,intern,internship,Testing|Manual QA,qa|internship,Ручне тестування веб застосунків,2024-07-02T09:00:00.000Z,2024-08-15T09:00:00.000Z
junior-node-dnipro,Junior Node Developer,dnipro-soft,dnipro,Дніпро,true,https://jobs.junior.ua/junior-node-dnipro,https://apply.junior.ua/junior-node-dnipro,32000,48000,UAH,junior,full_time,Node.js|TypeScript|SQL,backend|remote,Розробка сервісів на Node.js,2024-07-03T09:00:00.000Z,
ui-designer-odesa,Junior UI Designer,odesa-digital,odesa,Одеса,false,https://jobs.junior.ua/ui-designer-odesa,https://apply.junior.ua/ui-designer-odesa,25000,36000,UAH,junior,full_time,FIGMA|UX,design|onsite,Дизайн інтерфейсів мобільних застосунків,2024-07-04T09:00:00.000Z,
data-analyst-chernihiv,Junior Data Analyst,chernihiv-data,chernihiv,Чернігів,true,https://jobs.junior.ua/data-analyst-chernihiv,https://apply.junior.ua/data-analyst-chernihiv,30000,45000,UAH,junior,full_time,SQL|PowerBI|Python,data|remote,Побудова звітності та аналітики,2024-07-05T09:00:00.000Z,
robotics-engineer-vinnytsia,Junior Robotics Engineer,vinnytsia-robotics,vinnytsia,Вінниця,false,https://jobs.junior.ua/robotics-engineer-vinnytsia,https://apply.junior.ua/robotics-engineer-vinnytsia,34000,52000,UAH,junior,full_time,Embedded C|ROS,hardware|onsite,Розробка алгоритмів для автономних систем,2024-07-06T09:00:00.000Z,2024-08-30T09:00:00.000Z
cloud-support-zaporizhzhia,Cloud Support Specialist,zaporizhzhia-cloud,zaporizhzhia,Запоріжжя,true,https://jobs.junior.ua/cloud-support-zaporizhzhia,https://apply.junior.ua/cloud-support-zaporizhzhia,26000,38000,UAH,junior,full_time,Linux|Networking|Azure,cloud|support,Підтримка клієнтів та моніторинг сервісів,2024-07-07T09:00:00.000Z,
manual-qa-poltava,Manual QA Engineer,poltava-studio,poltava,Полтава,true,https://jobs.junior.ua/manual-qa-poltava,https://apply.junior.ua/manual-qa-poltava,22000,32000,UAH,junior,contract,Manual QA|Test Cases,qa|remote,Тестування ігор та застосунків,2024-07-08T09:00:00.000Z,
security-analyst-sumy,Security Analyst,sumy-security,sumy,Суми,false,https://jobs.junior.ua/security-analyst-sumy,https://apply.junior.ua/security-analyst-sumy,36000,52000,UAH,junior,full_time,SIEM|Linux|Scripting,security|onsite,Моніторинг подій безпеки,2024-07-09T09:00:00.000Z,
network-support-rivne,Network Support Specialist,rivne-systems,rivne,Рівне,false,https://jobs.junior.ua/network-support-rivne,https://apply.junior.ua/network-support-rivne,24000,36000,UAH,junior,full_time,Cisco|Networking|Linux,network|onsite,Налаштування мереж та підтримка клієнтів,2024-07-10T09:00:00.000Z,
